   St.   E_TM     N_TM       Y_GK         X_GK
    1   596567   187238   596934.420   186755.317
    2   589919   185825   590286.591   185342.097
    3   594466   180774   594833.813   180291.311
    4   599014   175724   599382.021   175241.354
    5   603562   170673   603930.141   170190.397
    6   583271   184412   583638.585   183928.797
    7   587819   179361   588186.808   178878.048
    8   592366   174311   592734.042   173828.180
    9   596914   169260   597282.215   168777.252
   10   601461   164210   601829.310   163727.426
   11   606009   159159   606377.572   158676.478
   12   610556   154109   610924.789   153626.505
   13   603909   152696   604277.733   152213.354
   14   599361   157746   599729.518   157263.327
   15   594814   162797   595182.400   162314.242
   16   590266   167847   590634.266   167364.069
   17   585719   172898   586087.047   172414.931
   18   581171   177948   581538.809   177464.824
   19   579071   171485   579439.029   171001.747
   20   583619   166434   583987.222   165950.864
   21   588166   161384   588534.461   160900.899
   22   592714   156333   593082.500   155850.092
   23   597261   151283   597629.691   150800.214
   24   595161   144819   595529.913   144336.129
   25   590613   149870   590981.698   149387.010
   26   586066   154920   586434.644   154436.830
   27   581518   159971   581886.468   159487.703
   28   576971   165021   577339.243   164537.592
   29   572423   170072   572790.970   169588.445
   30   565776   168659   566143.890   168175.126
   31   570323   163608   570691.146   163124.341
   32   574871   158558   575239.503   158074.482
   33   579418   153507   579786.646   153023.666
   34   583966   148457   584334.800   147973.702
   35   588513   143406   588881.980   142922.844
   36   581866   141993   582234.988   141509.549
   37   577318   147044   577686.827   146560.480
   38   572771   152094   573139.734   151610.366
   39   568223   157145   568591.471   156661.212
   40   563676   162195   564044.102   161711.043
   41   559128   167246   559495.968   166761.820
   42   552480   165833   552848.127   165348.550
   43   557028   160782   557396.224   160297.789
   44   561575   155732   561943.391   155247.995
   45   566123   150681   566491.622   150197.106
   46   570670   145631   571038.849   145147.217
   47   575218   140580   575587.022   140096.345
   48   573118   134117   573487.127   133633.236
   49   568570   139167   568939.007   138683.159
   50   564023   144218   564391.822   143733.983
   51   559475   149268   559843.608   148783.811
   52   554928   154319   555296.450   153834.687
   53   550380   159369   550748.286   158884.577
   54   545833   164420   546201.166   163935.307
   55   539185   163007   539553.242   162522.057
   56   543733   157956   544101.393   157471.259
   57   548280   152906   548648.489   152421.451
   58   552828   147855   553196.642   147370.527
   59   557375   142805   557743.842   142320.621
   60   561923   137754   562292.084   137269.919
   61   566470   132704   566839.218   132220.109
   62   559823   131291   560192.354   130806.904
   63   555275   136341   555644.153   135856.677
   64   550727   141392   551095.867   140907.425
   65   546180   146442   546548.665   145957.354
   66   541632   151493   542000.453   151008.260
   67   537085   156543   537453.341   156058.112
   68   532537   161594   532905.257   161108.946
   69   525890   160181   526258.249   159695.694
   70   530437   155130   530805.372   154644.891
   71   534985   150080   535353.481   149595.050
   72   539532   145029   539900.740   144544.214
   73   544080   139979   544449.015   139494.179
   74   548627   134928   548996.182   134443.402
   75   553175   129878   553544.535   129393.548
   76   557722   124827   558091.592   124342.889
   77   551075   123414   551444.690   122929.626
   78   546527   128465   546896.448   127980.430
   79   541980   133515   542349.270   133030.208
   80   537432   138566   537801.105   138081.126
   81   532885   143616   533253.773   143130.986
   82   528337   148667   528705.705   148181.825
   83   523790   153717   524158.568   153231.711
   84   519242   158768   519610.374   158282.568
   85   514695   163818   515063.352   163332.271
   86   508047   162405   508415.591   161919.069
   87   512594   157355   512962.628   156869.319
   88   517142   152304   517510.735   151818.401
   89   521689   147254   522057.881   146768.611
   90   526237   142203   526606.013   141717.813
   91   530784   137153   531153.191   136668.064
   92   535332   132102   535701.257   131617.106
   93   539880   127052   540249.348   126567.192
   94   544427   122001   544796.651   121516.332
   95   548975   116951   549344.658   116466.392
   96   546874   110487   547243.928   110002.579
   97   542327   115538   542696.764   115053.246
   98   537779   120588   538148.749   120103.280
   99   533232   125639   533601.577   125154.016
  100   528684   130689   529053.514   130203.952
  101   524137   135740   524506.342   135254.686
  102   519589   140790   519958.130   140304.543
  103   515042   145841   515411.142   145355.340
  104   510494   150891   510862.943   150405.183
  105   505947   155942   506315.855   155455.999
  106   501399   160992   501767.744   160505.781
  107   494752   159579   495120.872   159092.658
  108   499299   154529   499668.074   154042.766
  109   503847   149478   504216.118   148992.046
  110   508394   144428   508763.192   143942.175
  111   512942   139377   513311.358   138891.399
  112   517489   134327   517858.484   133841.645
  113   522037   129276   522406.653   128790.743
  114   526584   124226   526953.726   123740.870
  115   531132   119175   531501.856   118690.003
  116   535679   114124   536048.975   113639.272
  117   540227   109074   540597.096   108589.494
  118   544774   104023   545144.190   103538.582
  119   549322    98973   549692.358    98488.585
  120   547222    92509   547592.520    92024.562
  121   542674    97560   543044.430    97075.476
  122   538127   102610   538497.283   102125.392
  123   533579   107661   533949.133   107176.367
  124   529032   112711   529402.136   112226.042
  125   524484   117762   524853.873   117276.904
  126   519937   122813   520306.780   122327.713
  127   515389   127863   515758.651   127377.647
  128   510841   132914   511210.533   132428.490
  129   506294   137964   506663.471   137478.258
  130   501746   143015   502115.471   142529.045
  131   497199   148065   497568.335   147578.807
  132   492651   153116   493020.143   152629.643
  133   490551   146652   490920.548   146165.599
  134   495099   141602   495468.611   141115.853
  135   499646   136551   500015.831   136065.232
  136   504194   131501   504563.693   131015.428
  137   508741   126450   509110.767   125964.505
  138   513289   121400   513658.886   120914.701
  139   517836   116349   518205.944   115863.821
  140   522384   111298   522754.082   110813.108
  141   526931   106248   527301.167   105763.266
  142   531479   101197   531849.277   100712.328
  143   536027    96147   536397.409    95662.319
  144   540574    91096   540944.512    90611.395
  145   545122    86046   545492.548    85561.488
  146   549669    80995   550039.770    80510.627
  147   543021    79582   543391.785    79097.447
  148   538474    84633   538844.595    84148.360
  149   533926    89683   534296.533    89198.288
  150   529379    94734   529749.398    94249.237
  151   524831    99784   525201.294    99299.168
  152   520284   104835   520654.150   104350.116
  153   515736   109885   516106.055   109399.855
  154   511189   114936   511558.978   114450.727
  155   506641   119987   507010.951   119501.518
  156   502094   125037   502463.830   124551.338
  157   497546   130088   497915.821   129602.222
  158   492999   135138   493368.856   134652.052
  159   488451   140189   488820.809   139702.690
  160   483904   145239   484273.649   144752.513
  161   477256   143826   477625.684   143339.408
  162   481803   138776   482172.779   138289.532
  163   486351   133725   486720.884   133238.787
  164   490899   128675   491268.858   128189.025
  165   495446   123624   495815.973   123138.305
