   St.     E_TM         N_TM       Y_GK     X_GK
    1   596934.424   186755.322   596567   187238
    2   590286.530   185342.073   589919   185825
    3   594833.776   180291.320   594466   180774
    4   599381.899   175241.503   599014   175724
    5   603930.133   170190.507   603562   170673
    6   583638.498   183928.853   583271   184412
    7   588186.791   178878.095   587819   179361
    8   592734.041   173828.165   592366   174311
    9   597282.168   168777.261   596914   169260
   10   601829.383   163727.446   601461   164210
   11   606377.483   158676.527   606009   159159
   12   610924.772   153626.539   610556   154109
   13   604277.712   152213.388   603909   152696
   14   599729.584   157263.359   599361   157746
   15   595182.408   162314.216   594814   162797
   16   590634.275   167364.083   590266   167847
   17   586087.035   172414.979   585719   172898
   18   581538.777   177464.858   581171   177948
   19   579439.014   171001.745   579071   171485
   20   583987.176   165950.791   583619   166434
   21   588534.433   160900.902   588166   161384
   22   593082.508   155850.090   592714   156333
   23   597629.668   150800.232   597261   151283
   24   595529.913   144336.128   595161   144819
   25   590981.666   149386.994   590613   149870
   26   586434.637   154436.830   586066   154920
   27   581886.468   159487.699   581518   159971
   28   577339.244   164537.591   576971   165021
   29   572790.936   169588.466   572423   170072
   30   566143.882   168175.145   565776   168659
   31   570691.192   163124.322   570323   163608
   32   575239.493   158074.468   574871   158558
   33   579786.645   153023.654   579418   153507
   34   584334.810   147973.706   583966   148457
   35   588881.974   142922.833   588513   143406
   36   582234.985   141509.575   581866   141993
   37   577686.793   146560.533   577318   147044
   38   573139.666   151610.540   572771   152094
   39   568591.442   156661.244   568223   157145
   40   564044.110   161711.055   563676   162195
   41   559495.954   166761.934   559128   167246
   42   552848.119   165348.552   552480   165833
   43   557396.239   160297.787   557028   160782
   44   561943.383   155247.999   561575   155732
   45   566491.610   150197.084   566123   150681
   46   571038.845   145147.216   570670   145631
   47   575587.018   140096.340   575218   140580
   48   573487.073   133633.170   573118   134117
   49   568938.983   138683.119   568570   139167
   50   564391.813   143733.984   564023   144218
   51   559843.599   148783.810   559475   149268
   52   555296.437   153834.678   554928   154319
   53   550748.323   158884.555   550380   159369
   54   546201.255   163935.383   545833   164420
   55   539553.257   162522.038   539185   163007
   56   544101.445   157471.296   543733   157956
   57   548648.490   152421.450   548280   152906
   58   553196.575   147370.508   552828   147855
   59   557743.833   142320.666   557375   142805
   60   562292.071   137269.906   561923   137754
   61   566839.109   132219.967   566470   132704
   62   560192.287   130806.813   559823   131291
   63   555644.142   135856.662   555275   136341
   64   551095.882   140907.440   550727   141392
   65   546548.678   145957.321   546180   146442
   66   542000.565   151008.247   541632   151493
   67   537453.558   156057.822   537085   156543
   68   532905.344   161108.806   532537   161594
   69   526258.244   159695.680   525890   160181
   70   530805.500   154644.746   530437   155130
   71   535353.552   149594.950   534985   150080
   72   539900.620   144544.147   539532   145029
   73   544449.031   139494.116   544080   139979
   74   548996.177   134443.400   548627   134928
   75   553544.478   129393.560   553175   129878
   76   558091.588   124342.887   557722   124827
   77   551444.625   122929.645   551075   123414
   78   546896.422   127980.441   546527   128465
   79   542349.233   133030.219   541980   133515
   80   537801.109   138081.127   537432   138566
   81   533254.005   143131.074   532885   143616
   82   528705.796   148181.846   528337   148667
   83   524158.457   153231.755   523790   153717
   84   519610.368   158282.540   519242   158768
   85   515063.352   163332.271   514695   163818
   86   508415.602   161919.080   508047   162405
   87   512962.616   156869.348   512594   157355
   88   517510.699   151818.393   517142   152304
   89   522057.937   146768.739   521689   147254
   90   526606.063   141717.840   526237   142203
   91   531153.195   136668.056   530784   137153
   92   535701.346   131617.112   535332   132102
   93   540249.425   126567.221   539880   127052
   94   544796.639   121516.478   544427   122001
   95   549344.812   116466.539   548975   116951
   96   547243.945   110002.564   546874   110487
   97   542696.768   115053.311   542327   115538
   98   538148.736   120103.271   537779   120588
   99   533601.577   125154.036   533232   125639
  100   529053.495   130203.881   528684   130689
  101   524506.345   135254.690   524137   135740
  102   519958.163   140304.561   519589   140790
  103   515411.101   145355.359   515042   145841
  104   510862.946   150405.188   510494   150891
  105   506315.842   155456.010   505947   155942
  106   501767.728   160505.772   501399   160992
  107   495120.860   159092.594   494752   159579
  108   499668.071   154042.786   499299   154529
  109   504216.101   148992.033   503847   149478
  110   508763.189   143942.175   508394   144428
  111   513311.361   138891.393   512942   139377
  112   517858.487   133841.641   517489   134327
  113   522406.642   128790.734   522037   129276
  114   526953.687   123740.890   526584   124226
  115   531501.761   118690.144   531132   119175
  116   536048.935   113639.286   535679   114124
  117   540597.091   108589.456   540227   109074
  118   545144.190   103538.581   544774   104023
  119   549692.358    98488.585   549322    98973
  120   547592.519    92024.563   547222    92509
  121   543044.429    97075.475   542674    97560
  122   538497.283   102125.390   538127   102610
  123   533949.132   107176.364   533579   107661
  124   529402.040   112226.054   529032   112711
  125   524853.833   117276.935   524484   117762
  126   520306.835   122327.652   519937   122813
  127   515758.654   127377.647   515389   127863
  128   511210.533   132428.491   510841   132914
  129   506663.468   137478.253   506294   137964
  130   502115.499   142529.015   501746   143015
  131   497568.387   147578.800   497199   148065
  132   493020.199   152629.658   492651   153116
  133   490920.504   146165.623   490551   146652
  134   495468.608   141115.848   495099   141602
  135   500015.831   136065.227   499646   136551
  136   504563.693   131015.428   504194   131501
  137   509110.767   125964.505   508741   126450
  138   513658.890   120914.697   513289   121400
  139   518205.934   115863.840   517836   116349
  140   522754.032   110813.105   522384   111298
  141   527301.141   105763.234   526931   106248
  142   531849.272   100712.268   531479   101197
  143   536397.409    95662.294   536027    96147
  144   540944.504    90611.393   540574    91096
  145   545492.555    85561.488   545122    86046
  146   550039.754    80510.614   549669    80995
  147   543391.769    79097.422   543021    79582
  148   538844.603    84148.365   538474    84633
  149   534296.540    89198.263   533926    89683
  150   529749.401    94249.229   529379    94734
  151   525201.299    99299.142   524831    99784
  152   520654.157   104350.086   520284   104835
  153   516106.050   109399.857   515736   109885
  154   511558.981   114450.729   511189   114936
  155   507010.953   119501.516   506641   119987
  156   502463.830   124551.337   502094   125037
  157   497915.821   129602.222   497546   130088
  158   493368.832   134652.044   492999   135138
  159   488820.805   139702.673   488451   140189
  160   484273.636   144752.461   483904   145239
  161   477625.673   143339.385   477256   143826
  162   482172.802   138289.520   481803   138776
  163   486720.876   133238.750   486351   133725
  164   491268.860   128189.027   490899   128675
  165   495815.957   123138.292   495446   123624
  166   500363.981   118088.365   499994   118574
  167   504911.097   113037.516   504541   113523
  168   509459.199   107986.664   509089   108472
  169   514006.268   102936.861   513636   103422
  170   518554.495    97886.005   518184    98371
  171   523101.471    92836.154   522731    93321
  172   527649.581    87785.176   527279    88270
  173   532196.629    82735.290   531826    83220
  174   536744.795    77684.317   536374    78169
  175   530096.823    76271.167   529726    76756
  176   525549.715    81322.170   525179    81807
  177   521001.651    86372.112   520631    86857
  178   516454.611    91423.023   516084    91908
  179   511906.498    96472.896   511536    96958
  180   507358.347   101523.737   506988   102009
  181   502811.274   106573.530   502441   107059
  182   498263.144   111624.398   497893   112110
  183   493716.115   116675.215   493346   117161
  184   489168.025   121724.986   488798   122211
  185   484621.065   126775.765   484251   127262
  186   480073.017   131825.667   479703   132312
  187   475525.886   136876.441   475156   137363
  188   470977.852   141926.253   470608   142413
  189   464331.022   140513.142   463961   141000
  190   468878.101   135463.247   468508   135950
  191   473426.136   130412.457   473056   130899
  192   477973.181   125362.607   477603   125849
  193   482521.218   120311.765   482151   120798
  194   487068.293   115262.010   486698   115748
  195   491616.287   110211.209   491246   110697
  196   496163.412   105160.244   495793   105646
  197   500711.506   100110.501   500341   100596
  198   505258.601    95059.718   504888    95545
  199   509806.702    90009.858   509436    90495
  200   514353.782    84959.005   513983    85444
  201   518901.827    79909.088   518531    80394
  202   523448.894    74858.019   523078    75343
  203   527997.063    69808.207   527626    70293
  204   525897.382    63344.089   525526    63829
  205   521349.237    68395.114   520978    68880
  206   516802.138    73445.031   516431    73930
  207   512254.028    78495.982   511883    78981
  208   507706.936    83545.848   507336    84031
  209   503158.818    88596.770   502788    89082
  210   498611.699    93646.560   498241    94132
  211   494063.635    98697.362   493693    99183
  212   489516.619   103747.116   489146   104233
  213   484968.467   108798.052   484598   109284
  214   480421.443   113848.778   480051   114335
  215   475873.350   118898.658   475503   119385
  216   471326.304   123949.396   470956   124436
  217   466778.206   128999.273   466408   129486
  218   462230.120   134050.190   461860   134537
  219   457683.121   139100.019   457313   139587
  220   451035.205   137686.852   450665   138174
  221   455583.189   132637.098   455213   133124
  222   460130.224   127586.195   459760   128073
  223   464678.318   122536.313   464308   123023
  224   469225.414   117485.489   468855   117972
  225   473773.502   112435.590   473403   112922
  226   478320.675   107384.875   477950   107871
  227   482868.753   102334.012   482498   102820
  228   487415.813    97284.236   487045    97770
  229   491963.841    92233.445   491593    92719
  230   496511.953    87183.579   496141    87669
  231   501059.053    82132.737   500688    82618
